'1.41904849463892', '-0.846739203079107', '2.5449602982422', '-0.534572175706497', '-0.569299373809626', '0.652275506223666', '-0.743981154082481', '-0.695044160639471', '-0.0207114853092163', '-0.884487684156902', '-0.342915520393052', '-0.1037746770983', '-0.710983574515927', '0.469168415650682', '-0.332154993142383', '-1.20978757871708', '0.56055501707743', '-0.16396416133493', '-0.822455608859965', '0.431727301268337', '-0.565640750358116', '1.31317725965596', '-0.789570131901424', '-0.087190247500092', '-0.435140133254683', '-0.494528409332421', '-1.24744288198102', '-1.55273412180103', '-1.05845856996748', '0.323333399843064', '-1.28366540317208', '0.140007709341097', '-0.385632065933707', '0.461863164841813', '-0.136880243976086', '-0.457116819188899', '-0.615133845349706', '0.156895647424266', '-0.413227722063017', '-0.264213502325794', '1.16805506971524', '1.01886598499269', '-0.696259652586882', '-0.250467687203989', '-0.404998754839039', '1.0422659488292', '0.376904261327916', '-1.0764720058052', '-0.90300752304061', '-0.867479357038169', '-1.07616158914921', '-0.419467873396153', '-1.01194208825251', '0.0457661861495062', '0.46276446810283', '0.692273464017222', '-0.52289886538888', '-0.453539851198831', '-2.19115230283873', '-0.0735376448664763', '-0.851376664405404'
'-0.695044160639471', '0.607659898680301', '0.140108016106412', '0.525856325015631', '0.773857513828675', '-1.51209321897304', '0.901795338281795', '1.41904849463892', '-0.636686400246277', '-0.376081377515533', '0.582572710743961', '-1.03362575492494', '-0.99834088308921', '-1.1340347556163', '0.427198914389045', '-0.308005823308501', '0.174702101770729', '-0.454483185059442', '0.92732244423373', '-0.558741963502797', '-0.755400744733771', '-1.27726924386996', '-0.789570131901424', '0.495510772764607', '-0.742662288931825', '0.12710137051082', '-0.15356759354214', '-0.682612376873347', '-0.833516865141787', '0.981174486480289', '-0.681220447738308', '-1.34533359460286', '0.0745852763337577', '0.644309111992528', '0.311873849298807', '-0.457116819188899', '0.121009936790106', '-0.279463255880161', '-0.138498030424764', '-0.616388028062202', '0.502491035820585', '-0.248747426246617', '2.57269386152954', '0.523796373612003', '-0.0200554346046228', '0.4451831014618', '-0.117562210512671', '-0.119991114035941', '0.270915225568266', '0.247908385048071', '-0.538878133036873', '-0.271651166162269', '0.171851143395224', '-0.174757351072537', '-1.28457033387165', '-0.259439584443366', '-0.26428357288625', '0.0529343962305719', '0.82684992559952', '-0.741688692859311', '0.810956909692744'
'-0.695044160639471', '-1.93753852939866', '2.33352697679267', '-0.407320755619842', '0.852866742513281', '0.652275506223666', '-0.743981154082481', '1.41904849463892', '-0.748681839325743', '-0.248979800855191', '1.15085495793335', '0.0329681284644418', '-0.981437511996664', '2.06695535998771', '0.416796806066697', '-0.368124607002406', '0.183276610999767', '-0.16396416133493', '1.14604470087044', '-0.622643206391257', '-1.13492073348508', '1.49820915276495', '2.43361564351051', '1.33220967365751', '1.24718695368498', '0.817801125892199', '1.07614841699046', '0.096601126046971', '1.59397903276884', '0.0601969651881735', '0.468901739907976', '1.43084003300668', '1.20506787605743', '0.826755059143244', '0.0127044537822116', '0.536023889167936', '0.159754346376412', '1.09195044021947', '-0.801795683717121', '1.11071444061771', '0.342418673238327', '0.385059279373035', '-0.696259652586882', '0.188979482448331', '-0.196750729138453', '-1.51666053988823', '-1.038760021065', '-0.92544870710479', '0.886277956693886', '0.0143193291137803', '-1.30002969586269', '0.116367690326674', '1.30952256082292', '1.36890740948177', '-0.585636413081859', '-0.259439584443366', '0.511562304621642', '0.615683560041019', '1.10121376454845', '-1.06424437120068', '0.395373516168207'
'1.41904849463892', '-0.0286397083394402', '-0.155253035994829', '1.03486200536225', '0.141783684351827', '0.652275506223666', '0.901795338281795', '1.41904849463892', '-0.75988138323369', '1.27623911906892', '-0.0181828077133985', '-0.349911727111234', '0.235605206666652', '0.398757465561253', '-0.8522604092598', '0.142885054395788', '-0.665599802674975', '-0.16396416133493', '1.36476695750715', '0.642601402800255', '-0.0912407644189793', '-0.521722347008237', '-0.870149776286723', '-0.669891267764791', '-0.27233428613149', '-0.563598384870559', '-0.353753920838145', '0.745945711813902', '0.253701374849072', '-0.597644121449052', '0.578437186350479', '0.321254713691402', '-0.708964249988285', '-0.0854746766103355', '-0.286464941734384', '1.3305364558534', '-0.343922978245565', '-0.94231320899498', '3.19620435923956', '-0.49095600519718', '-0.146223275696987', '0.0681559265632092', '-0.432634369190397', '-0.062133185924423', '-0.196750729138453', '1.38345614732486', '0.119510755438295', '1.54126517166856', '0.109974203581565', '1.77791670141768', '3.40120054512028', '0.0840327856192624', '1.15578318008944', '1.25864564087074', '0.928720415296026', '2.35777129882325', '0.252947012119011', '-0.322231712976393', '-0.202014470458974', '-0.234815484037161', '-0.0617682167087839'
'-0.695044160639471', '0.971259674120152', '-0.710467254152352', '0.525856325015631', '-0.174253230386596', '0.652275506223666', '0.078907092099657', '-0.695044160639471', '0.108083269632169', '-0.248979800855191', '-0.456571969830931', '0.0329681284644418', '0.522962515239935', '-0.19702749673391', '-0.821054084292755', '0.293182013630552', '-0.116831212016556', '0.649489105093703', '-0.603733352223253', '0.444507549846029', '-0.565640750358116', '0.048792656744495', '-0.144932976819037', '-0.699773371368109', '-0.507498287531657', '-0.494528409332421', '-1.17594776508959', '1.65502813188761', '0.994134486566984', '0.849606269152844', '-0.0787754923045401', '0.90478165452653', '0.296433636196023', '-0.687546302207698', '-0.421091169716851', '1.13190831418204', '-0.266434159072953', '0.198453638215164', '2.46763943113811', '-0.524726165199301', '-0.398969111353184', '1.33576933780251', '0.410966537678357', '-0.365560993541501', '-0.392377662372337', '-1.30341666582845', '-1.24196542045154', '1.45736333905722', '-0.136170888868683', '1.80127560701111', '0.714783264558584', '-0.3917522407898', '0.802182604402459', '-1.27737503718275', '-0.935103373476756', '0.692273464017222', '1.0287928896269', '-0.434781545738482', '0.758258965862287', '-0.0735376448664763', '-1.26696005792994'
'-0.695044160639471', '0.971259674120152', '-1.24469953964695', '2.47704476634435', '2.19602363015158', '0.652275506223666', '0.078907092099657', '1.41904849463892', '-1.25826108713731', '2.92855961565337', '-0.107484303700303', '0.0876652506895384', '-0.626466719053197', '-0.684487920429953', '0.198352531297382', '1.28514194457999', '1.57234710610389', '-0.454483185059442', '0.271155674323595', '-0.418159229148184', '0.193399227144503', '-0.398367751602241', '-0.0643533324337383', '0.0771613223181564', '0.234172793807332', '0.587567874098406', '2.19862175218591', '0.745945711813902', '-0.0930837534238746', '-0.992348773431388', '0.687972632792982', '0.224000223552214', '0.060424742725528', '-0.0854746766103355', '-0.593113572138894', '0.734652030839303', '0.702176080584694', '1.52830934352389', '-0.627243669692816', '-0.302807970899647', '-0.390544250164644', '-1.07269614355216', '2.57269386152954', '0.502870317914274', '-0.322961653805475', '0.743724525145501', '0.803635600039655', '-0.807986141448916', '0.687468458945609', '1.69032080544232', '0.22227342978894', '0.231849492853146', '0.340964462202043', '0.0457661861495062', '1.27818737569092', '-0.0215113223282189', '1.54602347463216', '0.803266614644502', '2.06148720086971', '-0.165696410106867', '1.43433199997955'
'-0.695044160639471', '-0.846739203079107', '0.406417161443596', '0.144102064755664', '-0.727317831178838', '0.652275506223666', '0.901795338281795', '-0.695044160639471', '0.729657956523203', '-0.121878224194849', '-1.67026048347114', '-1.47120273272571', '-1.21808470729231', '-0.803644912888985', '-0.97708570912798', '0.142885054395788', '-0.963135272922587', '-0.977417427763563', '-1.04117786549668', '-0.705714822146255', '-0.850280741921599', '-1.38520451485021', '-1.03130906505732', '0.241512892136405', '-0.851199520347287', '-1.02406488845815', '-0.961462414415301', '0.356338960353744', '-0.664810586522515', '0.191765182515619', '0.414134016686724', '-0.655710846343168', '-1.12906008036577', '-1.0706827912242', '-0.286464941734384', '-1.29135501420864', '-0.925089122040152', '-0.992182797944057', '-1.00518672614544', '-0.471658770910253', '-0.76966300364894', '0.701962632182861', '-0.169009085793911', '-0.721303940402903', '-0.846736991173615', '-0.876928917708874', '-0.55784057585018', '1.25599894079001', '-0.278177672974595', '0.837720751282157', '0.22227342978894', '-0.567284580630036', '-0.335488813025234', '0.156027954760528', '0.113297507707934', '-1.02081002321184', '0.511562304621642', '-0.791189349485099', '0.140940328227191', '0.663732477056652', '-0.560468288938228'
'1.41904849463892', '0.244060123240449', '-0.213356849522942', '0.313770624871205', '-0.411280916440414', '0.652275506223666', '-0.743981154082481', '-0.695044160639471', '-0.054310117033056', '0.513629659106863', '0.923542059057597', '2.13880733413066', '0.396187232045839', '1.01079110864628', '-0.373763426431777', '0.533657148406173', '-0.391215507345766', '-0.222067966079832', '1.36476695750715', '0.770403888577176', '1.09475920042886', '-0.0899812630872507', '-0.386671909974932', '0.3162181511447', '-0.236155208993003', '0.357334622304613', '0.74727087928988', '0.616076794660516', '1.60335160380324', '1.63901557311752', '-0.681220447738308', '0.343358006904854', '-0.0339788146626699', '0.644309111992528', '0.0127044537822116', '-0.457116819188899', '-0.770111483694929', '-1.42230800262985', '-0.610547390090492', '-0.597090793775275', '0.13179714352483', '-0.248747426246617', '0.410966537678357', '-0.355097965692636', '0.219745322262718', '-1.21811911620453', '0.0517756223094479', '0.131714383798074', '0.772672529409156', '0.755964581705155', '3.40120054512028', '-0.137692275231563', '-1.85750868228661', '-0.726066194127646', '1.39467636248922', '0.930201726132369', '2.58048464464269', '0.803266614644502', '0.483895126913355', '2.2765108687635', '-0.331897422499733'
'-0.695044160639471', '0.334960067100412', '1.5329855459609', '0.441022044957861', '0.536829827774857', '0.652275506223666', '0.078907092099657', '-0.695044160639471', '-0.38469666231748', '1.14913754240857', '4.34947217782794', '0.169710934027183', '-0.99834088308921', '-1.58358159080265', '-1.18512787557495', '1.43543890381475', '-1.11443248826896', '1.17242334779782', '0.489877930960307', '-0.814346935056637', '-1.04004073629725', '-1.83236492319695', '-0.547831198745529', '-0.445775490739907', '-1.50242290884006', '-0.954994912920007', '-0.854219739078156', '-1.39689142121697', '-0.467986594800033', '-0.466075904121607', '-1.61227174249958', '-1.79182011751459', '-0.994535011087584', '-1.21663954894477', '-0.705302095457617', '-1.17217812920582', '0.159754346376412', '-1.79840781928747', '-0.689475257301482', '1.06729566347213', '-1.57002481656023', '-1.10438647883315', '0.200066310961169', '-1.00380569232225', '-0.127334720571591', '0.573129425897672', '-0.781366515175377', '1.87687250211391', '0.289849463449054', '-0.0674368404632216', '-0.0463682982672294', '0.21337240444891', '-1.67302142540644', '-1.93894564884888', '-0.236169452686962', '-0.854260239731233', '2.32186935214006', '-0.99753070954893', '-1.093696947043', '1.12452630325861', '-1.74488096048316'
'-0.695044160639471', '0.698559842540263', '-0.494191948242154', '-0.746657875850923', '-0.569299373809626', '0.652275506223666', '-0.743981154082481', '-0.695044160639471', '-0.799079786911503', '0.38652808244652', '-1.47948001477184', '-1.38915704938807', '1.12303218902532', '-1.29110533658503', '-0.311350776497687', '-0.277946431461548', '-0.555846084543291', '-0.628794599294149', '-0.603733352223253', '-0.712104946435101', '-0.802840743327685', '-0.0283039653842526', '1.46665991088693', '-0.714714423169768', '-0.254244747562246', '-0.563598384870559', '-0.568239271512435', '0.48620787750713', '-0.711673441694535', '-0.860780556103942', '1.29041758822675', '1.29379961508328', '-0.633441404077727', '-0.797013870498128', '-0.667905921018042', '-0.735196217528814', '0.121009936790106', '-0.65348517299824', '0.11498185081053', '4.30440671510404', '-1.12350717356762', '-0.248747426246617', '-0.3799093125111', '-0.532969439123337', '-0.430240939772443', '0.573129425897672', '-1.05230704769077', '0.651905745988372', '-0.278177672974595', '-0.943395800216814', '-0.225462783638009', '-0.474899138608859', '-0.243245184585151', '0.92786033503768', '1.27818737569092', '-2.11528002894151', '-0.52289886538888', '-1.22263037507311', '1.03262280481122', '-1.31768097561176', '-0.560468288938228'
'-0.695044160639471', '0.971259674120152', '1.12464485644388', '-0.280069335533187', '1.16890365725171', '0.652275506223666', '0.078907092099657', '1.41904849463892', '-1.45425310552638', '0.132324929125836', '1.80843870110965', '2.41229294525614', '0.0665714957411914', '1.08120205873571', '-0.248938126563597', '-0.488362174390217', '0.251872684832069', '-0.628794599294149', '-0.166288838949829', '0.502018668445643', '-0.186120761606807', '1.23608063752721', '0.419124533878052', '-0.0573081438967741', '0.306530948084307', '0.817801125892199', '1.91979079630934', '0.875814628967289', '2.99049211689502', '0.0601969651881735', '0.195063123801718', '1.25401368729907', '1.29947143344563', '-1.08892738593927', '-0.52580045814766', '0.138767605825201', '0.159754346376412', '-0.0301153111347741', '-0.457245186469146', '0.358122303427583', '0.91530923405904', '0.701962632182861', '0.0946161976025742', '1.24574529518367', '0.327024608229687', '-0.0239534214697293', '-0.672990302169221', '0.786148678166513', '0.195178274045113', '0.61581114814458', '0.177499808446245', '2.08417760537775', '1.78611464109668', '-0.174757351072537', '0.229786494506233', '-1.87735176682636', '0.511562304621642', '0.990849669247984', '1.03262280481122', '0.433335563955675', '1.01874860645501'
